Id,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,SalePrice
1,65,8450,7,5,2003,2003,196,208500
2,80,9600,6,8,1976,1976,0,181500
3,68,11250,7,5,2001,2002,162,223500
4,60,9550,7,5,1915,1970,0,140000
5,84,14260,8,5,2000,2000,350,250000
6,85,14115,5,5,1993,1995,0,143000
7,75,10084,8,5,2004,2005,186,307000
9,51,6120,8,5,1931,1950,0,129900
11,70,11200,8,5,1965,1965,0,129500
12,85,11924,8,5,2005,2006,286,345000
14,91,10652,8,5,2006,2007,306,279500
16,51,6120,8,8,1929,2001,0,132000
19,66,13695,8,5,2004,2004,0,159000
21,101,14215,8,5,2005,2006,380,325300
22,57,7449,8,7,1930,1950,0,139400
23,75,9742,8,5,2002,2002,281,230000
24,44,4224,8,7,1976,1976,0,129900
28,98,11478,8,5,2007,2008,200,306000
29,47,16321,8,6,1957,1997,0,207500
30,60,6324,8,6,1927,1950,0,68500
33,85,11049,8,5,2007,2007,0,179900
34,70,10552,8,5,1959,1959,0,165500
36,108,13418,8,5,2004,2005,132,309000
37,112,10859,8,5,1994,1995,0,145000
38,74,8532,8,6,1954,1990,650,153000
40,65,6040,8,5,1955,1955,0,82000
41,84,8658,8,5,1965,1965,101,160000
42,115,16905,8,6,1959,1959,0,170000
46,61,7658,8,5,2005,2005,412,319900
49,33,4456,8,5,1920,2008,0,113000
52,52,6240,8,6,1934,1950,0,114500
54,68,50271,8,5,1981,1987,0,385000
56,100,10175,8,5,1964,1964,272,180500
57,24,2645,8,5,1999,2000,456,172500
59,66,13682,8,5,2006,2006,1031,438780
61,63,13072,8,5,2004,2004,0,158000
63,44,6442,8,5,2006,2006,178,202500
66,76,9591,8,5,2004,2005,344,317000
68,72,10665,8,5,2003,2003,167,226000
69,47,4608,8,6,1945,1950,0,80000
70,81,15593,8,4,1953,1953,0,225000
71,95,13651,8,6,1973,1973,1115,244000
72,69,7599,8,6,1982,2006,0,129500
73,74,10141,8,5,1998,1998,40,185000
80,60,10440,8,6,1910,1981,0,110000
81,100,13000,8,6,1968,1968,576,193500
82,32,4500,8,5,1998,1998,443,153500
83,78,10206,8,5,2007,2007,468,245000
84,80,8892,8,5,1960,1960,66,126500
87,122,11911,8,5,2005,2005,0,174000
89,105,8470,8,2,1915,1982,0,85000
90,60,8070,8,5,1994,1995,0,123600
91,60,7200,8,5,1950,1950,0,109900
92,85,8500,8,3,1961,1961,203,98600
93,80,13360,8,7,1921,2006,0,163500
94,60,7200,8,6,1910,1998,0,133900
95,69,9337,8,5,1997,1997,0,204750
97,78,10264,8,5,1999,1999,183,214000
98,73,10921,8,5,1965,1965,48,94750
99,85,10625,8,5,1920,1950,0,83000
100,77,9320,8,5,1959,1959,0,128950
102,77,9206,8,5,1985,1985,336,178000
103,64,7018,8,5,1979,1979,0,118964
106,75,9375,8,5,2003,2004,768,250000
107,60,10800,8,7,1885,1995,0,100000
108,50,6000,8,5,1948,1950,0,115000
110,105,11751,8,6,1977,1977,480,190000
113,77,9965,8,5,2007,2007,220,383970
116,34,3230,8,5,1999,1999,1129,176000
118,74,8536,8,5,2006,2007,0,155000
119,90,12376,8,5,1990,1990,0,320000
120,65,8461,8,5,2005,2006,0,163990
122,50,6060,8,5,1939,1950,0,100000
