MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition
5,2,2,4,4,1,5,3,25,9,6,5,8,6,7,14,16,4,4,4,6,4,4,4,6,6,6,5,2,4,4,7,5,6,3,5,5,3,3,4,4,9,6
4,1,1,3,3,,4,2,24,8,5,4,7,5,6,13,15,3,3,3,5,3,3,3,5,5,5,4,1,3,3,6,4,5,2,4,4,2,2,3,3,8,5
3,,,2,2,,3,1,23,7,4,3,6,4,5,12,14,2,2,2,4,2,2,2,4,4,4,3,,2,2,5,3,4,1,3,3,1,1,2,2,7,4
2,,,1,1,,2,,22,6,3,2,5,3,4,11,13,1,1,1,3,1,1,1,3,3,3,2,,1,1,4,2,3,,2,2,,,1,1,6,3
1,,,,,,1,,21,5,2,1,4,2,3,10,12,,,,2,,,,2,2,2,1,,,,3,1,2,,1,1,,,,,5,2
,,,,,,,,20,4,1,,3,1,2,9,11,,,,1,,,,1,1,1,,,,,2,,1,,,,,,,,4,1
,,,,,,,,19,3,,,2,,1,8,10,,,,,,,,,,,,,,,1,,,,,,,,,,3,
,,,,,,,,18,2,,,1,,,7,9,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,,,,17,1,,,,,,6,8,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,16,,,,,,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,15,,,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,14,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,12,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
